Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,Latitude,Longitude,Bike ID,User Type,Birth Year,Gender,Trip_Duration_in_min
300,01-10-15 7:22,01-10-15 7:27,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,24709,Subscriber,1970,2,5
306,01-10-15 7:22,01-10-15 7:27,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,24396,Subscriber,1966,1,5
386,01-10-15 7:22,01-10-15 7:28,3203,Hamilton Park,40.72759597,-74.04424731,3202,Newport PATH,40.7272235,-74.0337589,24666,Subscriber,1970,1,6
287,01-10-15 7:26,01-10-15 7:30,3186,Grove St PATH,40.71958612,-74.04311746,3205,JC Medical Center,40.71653978,-74.04963791,24723,Subscriber,1981,2,5
309,01-10-15 7:26,01-10-15 7:31,3210,Pershing Field,40.74267714,-74.05178863,3220,5 Corners Library,40.73496102,-74.05950308,24645,Subscriber,1985,2,5
230,01-10-15 7:26,01-10-15 7:30,3187,Warren St,40.7211236,-74.03805095,3183,Exchange Place,40.7162469,-74.0334588,24582,Subscriber,1988,2,4
187,01-10-15 7:26,01-10-15 7:30,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,24705,Subscriber,1975,2,3
304,01-10-15 7:27,01-10-15 7:32,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,24429,Subscriber,1981,2,5
93,01-10-15 7:28,01-10-15 7:29,3214,Essex Light Rail,40.7127742,-74.0364857,3184,Paulus Hook,40.7141454,-74.0335519,24540,Subscriber,1982,1,2
387,01-10-15 7:28,01-10-15 7:35,3213,Van Vorst Park,40.71848892,-74.04772663,3184,Paulus Hook,40.7141454,-74.0335519,24450,Subscriber,1981,1,6
167,01-10-15 7:30,01-10-15 7:32,3214,Essex Light Rail,40.7127742,-74.0364857,3183,Exchange Place,40.7162469,-74.0334588,24699,Subscriber,1983,1,3
244,01-10-15 7:31,01-10-15 7:35,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24469,Subscriber,1969,1,4
88,01-10-15 7:33,01-10-15 7:34,3211,Newark Ave,40.72152515,-74.04630454,3211,Newark Ave,40.72152515,-74.04630454,24567,Subscriber,1983,2,1
151,01-10-15 7:33,01-10-15 7:35,3214,Essex Light Rail,40.7127742,-74.0364857,3183,Exchange Place,40.7162469,-74.0334588,24547,Subscriber,1981,2,3
367,01-10-15 7:35,01-10-15 7:41,3211,Newark Ave,40.72152515,-74.04630454,3184,Paulus Hook,40.7141454,-74.0335519,24527,Subscriber,1985,1,6
503,01-10-15 7:38,01-10-15 7:46,3186,Grove St PATH,40.71958612,-74.04311746,3202,Newport PATH,40.7272235,-74.0337589,24668,Subscriber,1990,1,8
619,01-10-15 7:39,01-10-15 7:49,3186,Grove St PATH,40.71958612,-74.04311746,3192,Liberty Light Rail,40.7112423,-74.0557013,24429,Customer,1984,0,10
2640,01-10-15 7:40,01-10-15 8:24,3205,JC Medical Center,40.71653978,-74.04963791,3213,Van Vorst Park,40.71848892,-74.04772663,24495,Subscriber,1984,1,44
511,01-10-15 7:41,01-10-15 7:50,3199,Newport Pkwy,40.7287448,-74.0321082,3186,Grove St PATH,40.71958612,-74.04311746,24437,Subscriber,1964,1,9
409,01-10-15 7:46,01-10-15 7:53,3214,Essex Light Rail,40.7127742,-74.0364857,3202,Newport PATH,40.7272235,-74.0337589,24700,Subscriber,1961,1,7
651,01-10-15 7:47,01-10-15 7:58,3209,Brunswick St,40.7241765,-74.0506564,3211,Newark Ave,40.72152515,-74.04630454,24535,Subscriber,1980,2,11
411,01-10-15 7:47,01-10-15 7:54,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3195,Sip Ave,40.73074263,-74.06378388,24610,Customer,1984,0,7
249,01-10-15 7:48,01-10-15 7:52,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24597,Subscriber,1975,1,4
369,01-10-15 7:48,01-10-15 7:55,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24443,Subscriber,1985,1,6
139,01-10-15 7:49,01-10-15 7:52,3184,Paulus Hook,40.7141454,-74.0335519,3183,Exchange Place,40.7162469,-74.0334588,24448,Subscriber,1974,2,2
538,01-10-15 7:50,01-10-15 7:59,3210,Pershing Field,40.74267714,-74.05178863,3195,Sip Ave,40.73074263,-74.06378388,24492,Subscriber,1961,1,9
121,01-10-15 7:50,01-10-15 7:52,3211,Newark Ave,40.72152515,-74.04630454,3186,Grove St PATH,40.71958612,-74.04311746,24567,Subscriber,1982,1,2
324,01-10-15 7:50,01-10-15 7:56,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.73074263,-74.06378388,24498,Customer,1984,0,5
354,01-10-15 7:51,01-10-15 7:57,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,24490,Subscriber,1982,1,6
231,01-10-15 7:52,01-10-15 7:55,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,24633,Subscriber,1978,1,4
380,01-10-15 7:53,01-10-15 8:00,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,24659,Subscriber,1982,1,6
400,01-10-15 7:54,01-10-15 8:01,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24625,Subscriber,1982,2,7
281,01-10-15 7:56,01-10-15 8:01,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.73074263,-74.06378388,24510,Subscriber,1977,1,5
444,01-10-15 7:56,01-10-15 8:04,3207,Oakland Ave,40.7376037,-74.0524783,3195,Sip Ave,40.73074263,-74.06378388,24679,Customer,1984,0,7
277,01-10-15 7:57,01-10-15 8:02,3202,Newport PATH,40.7272235,-74.0337589,3203,Hamilton Park,40.72759597,-74.04424731,24700,Subscriber,1980,1,5
141,01-10-15 7:59,01-10-15 8:01,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,19086,Subscriber,1965,1,2
