OBJECTID,Longitude,Latitude,GLOBALID,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,STATION_NUMBER,STATION_NAME,STREET_NAME,BETWEEN_WHICH_CROSS_STREET,GEO_LOCATION,ZONE,STATION_CATEGORY,STATION_TYPE,PUBLIC_PRIVATE,DOCK_ORIENTATION,STATION_LENGTH_AVAILABLE,STATION_WIDTH_AVAILABLE,NUMBER_OF_RACKS,SURFACE,TYPE_OF_SIGN,KIOSK_,MARTA,PARK,INSTALLED
37,-84.36571848,33.76146812,{277A7723-6981-4756-9F60-080F6E20C3E7},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,806,Highland Ave - Freedom Trail Park,Highland Ave,Highland Ave & Sampson St,33.761369  -84.365742,8,Off Roadway,Non-metered,Public,Mono-directional Straight,40,6,16,Concrete,Large Sign,yes,yes,yes,yes
38,-84.36529124,33.75426598,{B7B33186-3B3C-4FC2-B3CE-8C968739DF7F},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,907,Edgewood Ave  - Beltline ,Edgewood Ave,,33.754297  -84.365342,9,On Roadway,Non-metered,Public,Mono-directional Straight,31,6,13,Concrete,Large Sign,yes,yes,yes,yes
39,-84.36797679,33.75451012,{30066773-6666-4752-90BD-B2341B9536F3},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,906,Randolph & Edgewood,Randolph St,Randolph St & Edgewood Ave,33.754426  -84.368052,9,On Roadway,Non-metered Parking,Public,Mono-directional Straight,40,6,13,Asphalt,Small Sign,yes,yes,yes,yes
40,-84.35992015,33.76189537,{490C9AD7-C59D-4BDA-A8AF-95064D104E39},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,905,Inman Village,N. Highland,N. Highland & Inman Village Pkwy,33.761818  -84.359931,9,On Roadway,On-street parking,Public,Mono-directional Straight,38,6,16,Asphalt,Large Sign,yes,yes,yes,yes
41,-84.39660226,33.77471275,{05DD58C9-D29C-4422-8F21-019FA4C00634},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,305,Clough Building (Georgia Tech),,,-84.396629 33.774653,3,On Roadway,On-street parking,Public,Mono-directional Straight,23,6,,Concrete,,yes,yes,yes,yes
42,-84.38958322,33.75969811,{BBF191D4-0A08-44D5-AE18-9A71BF0ED768},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,704,Walton Spring Park,Andrew Young ,Andrew Young & Carnegie Way,33.759653  -84.389587,7,On Roadway,Sidewalk,Public,Mono-directional Straight,30,6,10,Concrete,Small Sign,yes,yes,yes,yes
43,-84.37768137,33.77568931,{ABF13832-8A04-4533-BBED-2780BBF7B981},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,402,Argonne & 5th,Argonne,Argonne & 5th,33.775598  -84.377736,4,On Roadway,Non-metered,Public,Mono-directional Straight,26,6,10,Asphalt,Small Sign,yes,yes,yes,yes
44,-84.38610422,33.75988121,{79791A2F-A807-428E-97F3-A0156529D2E4},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,804,PEACHTREE CENTER MALL,Peachtree Center Ave,Peachtree Center Ave & Andrew Young International,33.759977  -84.386156,8,Off Roadway,Sidewalk,Public,Mono-directional Straight,20,6,7,Concrete,Small Sign,yes,yes,yes,yes
47,-84.3820759,33.75566979,{BB74BF28-1B89-410D-B5BB-E0D0EC9EA61F},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,803,Piedmont & Auburn,Piedmont Ave,Piedmont & Auburn,33.755702  -84.382172,8,Off Roadway,Sidewalk,Public,Mono-directional Straight,24,6,9,Concrete,Small Sign,yes,yes,yes,yes
48,-84.35900462,33.76366539,{984F97E5-8FE3-480E-B376-AE8546FDC75A},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,908,King of Pops,Elizabeth St,Elizabeth St & Bernina Ave,33.763740  -84.359011,9,Off Roadway,Sidewalk,Public,Mono-directional Straight,40,6,11,Asphalt,Small Sign,yes,yes,yes,yes
